account_number,transaction_date,transaction_amount,transaction_type,transaction_description,category
7157,2/8/20,14.32,Debit,PAYPAL *MEILIANDAMA EB 4029357733 CA,Shopping
7157,2/8/20,26.99,Debit,PAYPAL *GROUPVERTIC EB 4029357733 CA,Shopping
7157,2/7/20,28.65,Debit,Central Meat Market Mount Vernon NY,Food
7157,2/6/20,9.36,Debit,HEIGHTS DELI FOOD NEW YORK NY,Food
7157,2/5/20,3,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2/5/20,8.5,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2/5/20,25.5,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2/4/20,8.75,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2/4/20,4.99,Debit,Spotify USA New York NY,Entertainment
7157,2/3/20,41.37,Debit,GRILL ON THE HILL NEW YORK NY,Entertainment
7157,2/2/20,22.46,Debit,PAYPAL *UBER 4029357733 CA,Transportation
7157,2/2/20,25.83,Debit,LA PLACITA MEAT & PROD MOUNT VERNON NY,Food
7157,2/2/20,149,Debit,EL MARINERO RESTAURANT YONKERS NY,Food
7157,2/1/20,7.25,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2/1/20,8.75,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2/1/20,12.64,Debit,CVS/PHARMACY #05861 MOUNT VERNON NY,Health
7157,2/1/20,33.77,Debit,BP#9248865BELLA VISQPS 9149648991 NY,Transportation
7157,2/1/20,53,Debit,MACYS CROSS COUNTY YONKERS NY,Shopping
7157,2/1/20,78.57,Debit,A EAGLE OUTFTR00021584 YONKERS NY,Shopping
7157,2/1/20,936.88,Debit,DON COQUI WHITE PLAINS NY,Food
7157,1/31/20,7.25,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,1/31/20,8.75,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,1/31/20,35,Debit,MTA*MNR STATION TIX NEW YORK NY,Transportation
7157,1/31/20,70,Debit,STATUE CRUISES JERSEY CITY NJ,Travel
7157,1/31/20,111.65,Debit,KUU NEW YORK NY,Food
7157,1/31/20,90.76,Debit,EMPIRE STATE OBSERVATO 2127363100 NY,Entertainment
7157,1/29/20,55,Debit,MTA*METROCARD MACHINE NEW YORK NY,Transportation
7157,1/29/20,22.47,Debit,7-ELEVEN 25986 YONKERS NY,Food
7157,1/28/20,1.3,Debit,DOF PARKING SERVICE FE 2126399675 NY,Transportation
7157,1/28/20,65,Debit,DOF PARKING OPERATIONS 2126399675 NY,Transportation
7157,1/27/20,-839.48,Credit,"ONLINE PAYMENT, THANK YOU",
7157,1/27/20,3,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,1/27/20,9.75,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,1/26/20,5.64,Debit,SUNOCO 0267249100 QPS ROSCOE NY,Transportation
7157,1/26/20,21.68,Debit,SUNOCO 0267249100 QPS ROSCOE NY,Transportation
7157,1/25/20,3,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,1/23/20,8.5,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,1/23/20,8.75,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,1/22/20,25.85,Debit,AMSTERDAM BILLARDS 212-995-0333 NY,Entertainment
7157,1/22/20,61.26,Debit,1ST STREET MAGIC WASH MOUNT VERNON NY,Transportation
7157,1/22/20,33.98,Debit,2112 AMC 19TH ST EAST NEW YORK NY,Entertainment
7157,1/21/20,15.25,Debit,BP#1713270MT VERNONQPS MOUNT VERNON NY,Transportation
7157,1/21/20,27.23,Debit,BP#1713270MT VERNONQPS 9146682285 NY,Transportation
7157,1/20/20,14.12,Debit,INTEREST CHARGED TO STANDARD PURCH,Other
7157,1/9/20,-25,Credit,AUTOPAY 190701043711444RAUTOPAY AUTO-PMT,
7157,1/5/20,73.41,Debit,SKECHERS-USA #649 YONKERS NY,Shopping
7157,1/4/20,4.99,Debit,Spotify USA New York NY,Entertainment
7157,1/1/20,12,Debit,WIX.COM*577615001 NEW YORK NY,Other
