account_number,transaction_date,transaction_amount,transaction_description,category
7157,2020/02/19,40.0,MTA*METROCARD MACHINE NEW YORK NY,Transportation
7157,2020/02/19,40.0,MTA*METROCARD MACHINE NEW YORK NY,Transportation
7157,2020/02/17,60.0,THE CHARLESTON BROOKLYN NY,Entertainment
7157,2020/02/16,4.0,ARCHER AVE GARAGE YONKERS NY,Entertainment
7157,2020/02/16,53.0,MIDWAY BAR LLC BROOKLYN NY,Entertainment
7157,2020/02/15,249.23,LITTLE MEXICAN CAFE NEW ROCHELLE NY,Food
7157,2020/02/13,27.21,PAYPAL *DOUGSGADGET EB 4029357733 CA,Shopping
7157,2020/02/13,41.21,BP#8841215MOUNT VERQPS MOUNT VERNON NY,Transportation
7157,2020/02/08,14.32,PAYPAL *MEILIANDAMA EB 4029357733 CA,Shopping
7157,2020/02/08,26.99,PAYPAL *GROUPVERTIC EB 4029357733 CA,Shopping
7157,2020/02/07,28.65,Central Meat Market Mount Vernon NY,Food
7157,2020/02/06,9.36,HEIGHTS DELI FOOD NEW YORK NY,Food
7157,2020/02/05,3.0,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/02/05,8.5,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/02/05,25.5,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/02/04,8.75,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/02/04,4.99,Spotify USA New York NY,Entertainment
7157,2020/02/03,41.37,GRILL ON THE HILL NEW YORK NY,Entertainment
7157,2020/02/02,22.46,PAYPAL *UBER 4029357733 CA,Transportation
7157,2020/02/02,25.83,LA PLACITA MEAT & PROD MOUNT VERNON NY,Food
7157,2020/02/02,149.0,EL MARINERO RESTAURANT YONKERS NY,Food
7157,2020/02/01,7.25,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/02/01,8.75,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/02/01,12.64,CVS/PHARMACY #05861 MOUNT VERNON NY,Health
7157,2020/02/01,33.77,BP#9248865BELLA VISQPS 9149648991 NY,Transportation
7157,2020/02/01,53.0,MACYS CROSS COUNTY YONKERS NY,Shopping
7157,2020/02/01,78.57,A EAGLE OUTFTR00021584 YONKERS NY,Shopping
7157,2020/02/01,936.88,DON COQUI WHITE PLAINS NY,Food
7157,2020/01/31,7.25,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/01/31,8.75,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/01/31,35.0,MTA*MNR STATION TIX NEW YORK NY,Transportation
7157,2020/01/31,70.0,STATUE CRUISES JERSEY CITY NJ,Travel
7157,2020/01/31,111.65,KUU NEW YORK NY,Food
7157,2020/01/31,90.76,EMPIRE STATE OBSERVATO 2127363100 NY,Entertainment
7157,2020/01/29,55.0,MTA*METROCARD MACHINE NEW YORK NY,Transportation
7157,2020/01/29,22.47,7-ELEVEN 25986 YONKERS NY,Food
7157,2020/01/28,1.3,DOF PARKING SERVICE FE 2126399675 NY,Transportation
7157,2020/01/28,65.0,DOF PARKING OPERATIONS 2126399675 NY,Transportation
7157,2020/01/27,3.0,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/01/27,9.75,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/01/26,5.64,SUNOCO 0267249100 QPS ROSCOE NY,Transportation
7157,2020/01/26,21.68,SUNOCO 0267249100 QPS ROSCOE NY,Transportation
7157,2020/01/25,3.0,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/01/23,8.5,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/01/23,8.75,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/01/22,25.85,AMSTERDAM BILLARDS 212-995-0333 NY,Entertainment
7157,2020/01/22,61.26,1ST STREET MAGIC WASH MOUNT VERNON NY,Transportation
7157,2020/01/22,33.98,2112 AMC 19TH ST EAST NEW YORK NY,Entertainment
7157,2020/01/21,15.25,BP#1713270MT VERNONQPS MOUNT VERNON NY,Transportation
7157,2020/01/21,27.23,BP#1713270MT VERNONQPS 9146682285 NY,Transportation
7157,2020/01/20,14.12,INTEREST CHARGED TO STANDARD PURCH,Other
7157,2020/01/05,73.41,SKECHERS-USA #649 YONKERS NY,Shopping
7157,2020/01/04,4.99,Spotify USA New York NY,Entertainment
7157,2020/01/01,12.0,WIX.COM*577615001 NEW YORK NY,Other
8821,2020/04/15,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/04/13,1.0,Withdrawal from Subscription Acorns,Investment
8821,2020/04/07,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/04/04,0.99,Debit Card Purchase - APPLE COM BILL 866 712 7753 CA,Entertainment
8821,2020/04/03,16.22,Debit Card Purchase - WALMART COM 8009666546 AR,Health
8821,2020/04/02,40.0,Debit Card Purchase - FBPAY CDCFOUNDATION DONATE FB CO CA,Other
8821,2020/04/01,46.81,Debit Card Purchase - ULTA COM 8669838582 IL,Shopping
8821,2020/03/31,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/03/31,25.5,Debit Card Purchase - WALMART COM 8009666546 AR,Health
8821,2020/03/25,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/03/24,4.99,Debit Card Purchase - APPLE COM BILL 866 712 7753 CA,Entertainment
8821,2020/03/24,34.86,Debit Card Purchase - TELCO STORES 1 BROOKLYN NY,Shopping
8821,2020/03/24,18.0,Debit Card Purchase - TELCO STORES 1 BROOKLYN NY,Shopping
8821,2020/03/21,16.28,Debit Card Purchase - CHEGG ORDER 8558681054 CA,Education
8821,2020/03/17,22.98,Withdrawal from PLANET FIT CLUB FEES,Health
8821,2020/03/17,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/03/17,10.88,Debit Card Purchase - APPLE COM BILL 866 712 7753 CA,Entertainment
8821,2020/03/14,30.46,Debit Card Purchase - WAL-MART #3469 LINDEN  NJ US,Shopping
8821,2020/03/13,1.0,Withdrawal from Subscription Acorns,Investment
8821,2020/03/11,60.79,Debit Card Purchase - CUROLOGY 8588591188 CA,Health
8821,2020/03/10,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/03/10,8.32,Debit Card Purchase - HEIGHTS DELI FOOD NEW YORK NY,Food
8821,2020/03/09,1.75,Debit Card Purchase - CMSVEND CV FARMINGDALE AMITYVILLE NY,Food
8821,2020/03/04,101.99,ATM Withdrawal - SMITH FINEST-163015 C163015 BROOKLYN  NY,Other
8821,2020/03/04,0.99,Debit Card Purchase - APPLE COM BILL 1111111111 CA,Entertainment
8821,2020/03/03,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/03/03,8.32,Debit Card Purchase - HEIGHTS DELI FOOD NEW YORK NY,Food
8821,2020/03/02,1.8,Debit Card Purchase - CMSVEND CV FARMINGDALE AMITYVILLE NY,Food
8821,2020/02/29,33.39,Debit Card Purchase - UBER EATS 8005928996 CA,Food
8821,2020/02/26,122.48,Debit Card Purchase - ATLANTIC TERMINAL #121 BROOKLYN  NY US,Shopping
8821,2020/02/26,127.0,Debit Card Purchase - MTA*METROCARD MACHINE NEW YORK  NY US,Transportation
8821,2020/02/26,1.8,Debit Card Purchase - CMSVEND CV FARMINGDALE AMITYVILLE NY,Food
8821,2020/02/25,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/02/25,13.52,Debit Card Purchase - UBER TRIP 8005928996 CA,Transportation
8821,2020/02/25,4.99,Debit Card Purchase - APPLE COM BILL 866 712 7753 CA,Entertainment
8821,2020/02/21,16.28,Debit Card Purchase - CHEGG ORDER 8558681054 CA,Education
8821,2020/02/19,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/02/18,10.88,Debit Card Purchase - APPLE COM BILL 1111111111 CA,Entertainment
8821,2020/02/18,1.8,Debit Card Purchase - CMSVEND CV FARMINGDALE AMITYVILLE NY,Food
8821,2020/02/18,144.25,Debit Card Purchase - CASA BELLA RESTAURANT NEW YORK NY,Food
8821,2020/02/18,22.98,Withdrawal from PLANET FIT CLUB FEES,Health
8821,2020/02/17,21.76,Debit Card Purchase - TELCO STORES #1 BROOKLYN  NY US,Shopping
8821,2020/02/17,8.78,Debit Card Purchase - UBER TRIP 8005928996 CA,Transportation
8821,2020/02/13,1.0,Withdrawal from Subscription Acorns,Investment
8821,2020/02/13,8.71,Debit Card Purchase - SQ SLONG FRESH TEA IN NEW YORK NY,Food
8821,2020/02/13,15.99,Debit Card Purchase - JCPENNEY 0174 NEW YORK NY,Shopping
8821,2020/02/12,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/02/11,22.07,Debit Card Purchase - TARGET T- 112 W 34TH S NEW YORK  NY US,Shopping
8821,2020/02/07,17.99,Debit Card Purchase - SQ RAIRAIKEN UPTOWN NEW YORK NY,Food
8821,2020/02/04,49.91,Debit Card Purchase - UQ 34TH ST US0032 NEW YORK  NY US,Shopping
8821,2020/02/04,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/02/04,0.99,Debit Card Purchase - APPLE COM BILL 866 712 7753 CA,Entertainment
8821,2020/02/04,21.26,Debit Card Purchase - TST RUBY S CAFE MUL NEW YORK NY,Food
8821,2020/02/04,6.01,Debit Card Purchase - VENMO 8558124430 NY,Entertainment
8821,2020/02/04,1.5,Debit Card Purchase - CMSVEND CV FARMINGDALE AMITYVILLE NY,Food
8821,2020/02/04,3.1,Debit Card Purchase - CMSVEND CV FARMINGDALE AMITYVILLE NY,Food
8821,2020/02/03,6.24,Debit Card Purchase - CAMPUS DELI AND GRILL NEW YORK NY,Food
8821,2020/02/02,40.01,Debit Card Purchase - UQ SOHO US0030 NEW YORK  NY US,Shopping
8821,2020/02/01,15.0,Debit Card Purchase - CASH APP BIBIAN GAR 4153753176 CA,Food
8821,2020/01/31,39.98,Debit Card Purchase - ARITZIA SOHO 524 BROAD NEW YORK  NY US,Shopping
8821,2020/01/31,26.52,Debit Card Purchase - 0271 FOREVER 21 NEW YORK  NY US,Shopping
8821,2020/01/28,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/01/27,127.0,Debit Card Purchase - MTA*METROCARD MACHINE NEW YORK  NY US,Transportation
8821,2020/01/24,4.99,Debit Card Purchase - APPLE COM BILL 866 712 7753 CA,Entertainment
8821,2020/01/23,20.21,Debit Card Purchase - UBER EATS 8005928996 CA,Food
8821,2020/01/22,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/01/21,10.0,Money sent to 13475640910,Shopping
8821,2020/01/17,22.98,Withdrawal from PLANET FIT CLUB FEES,Health
8821,2020/01/17,10.88,Debit Card Purchase - APPLE COM BILL 866 712 7753 CA,Health
8821,2020/01/16,35.0,Debit Card Purchase - VICTORIA'S SECRET #158 STATEN ISLAND  NY,Shopping
8821,2020/01/15,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/01/14,48.39,Debit Card Purchase - WALMART COM 8009666546 AR,Shopping
8821,2020/01/13,1.0,Withdrawal from Subscription Acorns,Investment
8821,2020/01/11,60.79,Debit Card Purchase - CUROLOGY 8588591188 CA,Health
8821,2020/01/08,5.0,Withdrawal from Acorns Invest Transfer,Investment
8821,2020/01/06,32.65,Debit Card Purchase - URBAN OUTFITTERS 166 A BROOKLYN  NY US,Shopping
8821,2020/01/06,31.54,Debit Card Purchase - MICHAELS STORES 1276 2 BROOKLYN  NY US,Shopping
8821,2020/01/04,0.99,Debit Card Purchase - APPLE COM BILL 866 712 7753 CA,Entertainment
8821,2020/01/02,1.0,Withdrawal from Subscription Acorns,Investment
