Account Number,Transaction Date,Transaction Description,Transaction Amount,Transaction Type,Category,Season
7157,11/26/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,11/25/19,AMZN MKTP US*CA6PR9T93 AMZN.COM/BILL WA,29.24,Debit,Shopping,Fall
7157,11/24/19,PAYPAL *FIXEZ.COM 4029357733 NV,10.54,Debit,Shopping,Fall
7157,11/22/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.75,Debit,Transportation,Fall
7157,11/22/19,WAVE 92058204 MOUNT VERNON NY,39.05,Debit,Transportation,Fall
7157,11/21/19,MTA*MNR ETIX TICKET 877-690-5116 NY,7.25,Debit,Transportation,Fall
7157,11/21/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,11/19/19,MTA*MNR ETIX TICKET 877-690-5116 NY,7.25,Debit,Transportation,Fall
7157,11/19/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,11/19/19,MTA*METROCARD MACHINE NEW YORK NY,40,Debit,Transportation,Fall
7157,11/16/19,MAMASUSHI NEW YORK NY,104.52,Debit,Food,Fall
7157,11/16/19,PAYPAL *FOREVER21 4029357733 CA,121.02,Debit,Shopping,Fall
7157,11/15/19,"ONLINE PAYMENT, THANK YOU",-983.59,Credit,Earning,Fall
7157,11/15/19,TAU KAPPA EPSILON FRAT 317-872-6533 IN,981.31,Debit,Education,Fall
7157,11/15/19,CVS/PHARMACY #05861 MOUNT VERNON NY,32.48,Debit,Health,Fall
7157,11/15/19,MAIN WINES & LIQUORS NEW ROCHELLE NY,62.66,Debit,Food,Fall
7157,11/14/19,AMZN Mktp US*HD5OT8MT3 Amzn.com/bill WA,38.99,Debit,Shopping,Fall
7157,11/13/19,HEIGHTS DELI FOOD NEW YORK NY,13,Debit,Food,Fall
7157,11/12/19,WAVE 92058204 MOUNT VERNON NY,47.6,Debit,Transportation,Fall
7157,11/9/19,AUTOPAY 190701043711444RAUTOPAY AUTO-PMT,-25,Credit,Earning,Fall
7157,11/9/19,CHIPOTLE 1435 NEW YORK NY,16.71,Debit,Food,Fall
7157,11/8/19,SQU*SQ *KICK AXE THROW Brooklyn NY,7.08,Debit,Entertainment,Fall
7157,11/8/19,SQU*SQ *KICK AXE THROW Brooklyn NY,76.21,Debit,Entertainment,Fall
7157,11/8/19,BLUE ELMHURST NY,10.75,Debit,Food,Fall
7157,11/7/19,MTA*MNR ETIX TICKET 877-690-5116 NY,9.75,Debit,Transportation,Fall
7157,11/7/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,11/7/19,MTA*METROCARD MACHINE NEW YORK NY,40,Debit,Transportation,Fall
7157,11/6/19,EXXONMOBIL 47968920 LITTLE FALLS NJ,45.43,Debit,Transportation,Fall
7157,11/5/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,11/5/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,11/5/19,SHELL OIL 57545066201 NEW YORK NY,5.1,Debit,Transportation,Fall
7157,11/4/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.5,Debit,Transportation,Fall
7157,11/4/19,Spotify USA New York NY,4.99,Debit,Entertainment,Fall
7157,11/3/19,MANHATTAN BEST DELI & NEW YORK NY,5.71,Debit,Food,Fall
7157,11/2/19,MTA*MNR ETIX TICKET 877-690-5116 NY,7.25,Debit,Transportation,Fall
7157,11/2/19,MTA*MNR ETIX TICKET 877-690-5116 NY,7.25,Debit,Transportation,Fall
7157,11/2/19,BP#6639009MOUNT VERQPS MOUNT VERNON NY,10.13,Debit,Transportation,Fall
7157,11/1/19,"ONLINE PAYMENT, THANK YOU",-500,Credit,Earning,Fall
7157,11/1/19,AMZN Mktp US Amzn.com/bill WA,-143,Credit,Earning,Fall
7157,10/31/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,10/31/19,MTA*MNR ETIX TICKET 877-690-5116 NY,25.5,Debit,Transportation,Fall
7157,10/30/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.5,Debit,Transportation,Fall
7157,10/30/19,COMPASS235 98203532 NEW YORK NY Digital Account Number XXXXXXXXXXXX1645,1.72,Debit,Food,Fall
7157,10/29/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.75,Debit,Transportation,Fall
7157,10/26/19,MTA*MNR ETIX TICKET 877-690-5116 NY,3,Debit,Transportation,Fall
7157,10/26/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,10/26/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,10/26/19,EB BLOODMANOR 2019-SA 8014137200 CA,288.48,Debit,Entertainment,Fall
7157,10/25/19,"ONLINE PAYMENT, THANK YOU",-679.86,Credit,Earning,Fall
7157,10/25/19,DUNKIN #330027 Q35 LITTLE FALLS NJ,3.4,Debit,Food,Fall
7157,10/25/19,EXXONMOBIL 47968920 LITTLE FALLS NJ,19.54,Debit,Transportation,Fall
7157,10/25/19,COMPASS235 98203532 NEW YORK NY,26.3,Debit,Food,Fall
7157,10/24/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,10/24/19,SUHAIL DELI & GROCERY NEW YORK NY Digital Account Number XXXXXXXXXXXX1645,5.72,Debit,Food,Fall
7157,10/23/19,MTA*MNR ETIX TICKET 877-690-5116 NY,6,Debit,Transportation,Fall
7157,10/23/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.5,Debit,Transportation,Fall
7157,10/23/19,CMSVEND*CV FARMINGDALE AMITYVILLE NY Digital Account Number XXXXXXXXXXXX1645,3.3,Debit,Food,Fall
7157,10/22/19,CMSVEND*CV FARMINGDALE AMITYVILLE NY Digital Account Number XXXXXXXXXXXX1645,3,Debit,Food,Fall
7157,10/22/19,PAYPAL *UBER 4029357733 CA,7.13,Debit,Transportation,Fall
7157,10/22/19,SUSHI SUSHI NEW YORK NY,16.33,Debit,Food,Fall
7157,10/22/19,NYS DMV TVB 518-4741575 NY,183,Debit,Transportation,Fall
7157,10/21/19,PAYPAL *GADGETSHIEL 4029357733 CA,4.35,Debit,Shopping,Fall
7157,10/21/19,AMZN Mktp US*XY7NB87C3 Amzn.com/bill WA,11.91,Debit,Shopping,Fall
7157,10/21/19,BP#0030619CROSS BROQPS BRONX NY,32.03,Debit,Transportation,Fall
7157,10/21/19,AMZN Mktp US*T40151RQ3 Amzn.com/bill WA,212.33,Debit,Shopping,Fall
7157,10/20/19,MANHATTAN BEST DELI & NEW YORK NY,5.2,Debit,Food,Fall
7157,10/19/19,"ONLINE PAYMENT, THANK YOU",-300,Credit,Earning,Fall
7157,10/19/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,10/17/19,JETBLUE 27921370691060 8005382583 UT,294.15,Debit,Travel,Fall
7157,10/17/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.75,Debit,Transportation,Fall
7157,10/17/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,10/17/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,10/15/19,MTA*METROCARD MACHINE NEW YORK NY,40,Debit,Transportation,Fall
7157,10/14/19,FuboTV Inc 8444413826 NY,-59.97,Credit,Earning,Fall
7157,10/14/19,FuboTV Inc 8444413826 NY,59.97,Debit,Entertainment,Fall
7157,10/13/19,CVS/PHARMACY #05861 MOUNT VERNON NY Digital Account Number XXXXXXXXXXXX1645,7.56,Debit,Health,Fall
7157,10/12/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,10/12/19,BP#6639009MOUNT VERQPS MOUNT VERNON NY,40.1,Debit,Transportation,Fall
7157,10/11/19,COMPASS235 98203532 NEW YORK NY Digital Account Number XXXXXXXXXXXX1645,1.72,Debit,Food,Fall
7157,10/10/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.75,Debit,Transportation,Fall
7157,10/10/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,10/10/19,HEIGHTS DELI FOOD NEW YORK NY,19.64,Debit,Food,Fall
7157,10/9/19,AUTOPAY 190701043711444RAUTOPAY AUTO-PMT,-25,Credit,Earning,Fall
7157,10/8/19,LA PINATA LTD YONKERS NY,163,Debit,Food,Fall
7157,10/7/19,SUHAIL DELI & GROCERY NEW YORK NY Digital Account Number XXXXXXXXXXXX1645,6.64,Debit,Food,Fall
7157,10/7/19,MTA*METROCARD MACHINE NEW YORK NY,40,Debit,Transportation,Fall
7157,10/6/19,"ONLINE PAYMENT, THANK YOU",-595.59,Credit,Earning,Fall
7157,10/6/19,NEW ROCHELLE PARKNG LO NEW ROCHELLE NY,3,Debit,Transportation,Fall
7157,10/6/19,NEW ROC CITY 18 IMAX NEW ROCHELLE NY,22.18,Debit,Entertainment,Fall
7157,10/6/19,SAKE BAR HAGI 46 NEW YORK NY,67,Debit,Food,Fall
7157,10/5/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.75,Debit,Transportation,Fall
7157,10/5/19,MTA*MNR ETIX TICKET 877-690-5116 NY,23,Debit,Transportation,Fall
7157,10/5/19,BP#9412925BP BEST SQPS NEW YORK NY,40.06,Debit,Transportation,Fall
7157,10/4/19,Spotify USA New York NY,4.99,Debit,Entertainment,Fall
7157,10/4/19,COMPASS235 98203532 NEW YORK NY Digital Account Number XXXXXXXXXXXX1645,2.1,Debit,Food,Fall
7157,10/3/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,10/2/19,COMPASS235 98203532 NEW YORK NY Digital Account Number XXXXXXXXXXXX1645,1.72,Debit,Food,Fall
7157,10/2/19,COMPASS235 98203532 NEW YORK NY Digital Account Number XXXXXXXXXXXX1645,1.72,Debit,Food,Fall
7157,10/1/19,"ONLINE PAYMENT, THANK YOU",-500,Credit,Earning,Fall
7157,10/1/19,CVS/PHARMACY #05861 MOUNT VERNON NY Digital Account Number XXXXXXXXXXXX1645,39.06,Debit,Health,Fall
7157,9/30/19,YARD HOUSE 83300083337 YONKERS NY Digital Account Number XXXXXXXXXXXX1645,34,Debit,Food,Fall
7157,9/30/19,1ST STREET MAGIC WASH MOUNT VERNON NY,56.81,Debit,Transportation,Fall
7157,9/29/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.5,Debit,Transportation,Fall
7157,9/29/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.5,Debit,Transportation,Fall
7157,9/29/19,PIZZA KING MOUNT VERNON NY,55,Debit,Food,Fall
7157,9/28/19,AMZN Mktp US*C76VN2GB3 Amzn.com/bill WA,74.53,Debit,Shopping,Fall
7157,9/28/19,GULF OIL 92050714 BRONX NY,10.12,Debit,Transportation,Fall
7157,9/28/19,MAMASUSHI NEW YORK NY,25.01,Debit,Food,Fall
7157,9/26/19,MTA*MNR ETIX TICKET 877-690-5116 NY,9.75,Debit,Transportation,Fall
7157,9/25/19,HUDSONNEWS ST127 NEW YORK NY,2.98,Debit,Food,Fall
7157,9/24/19,MTA*METROCARD MACHINE NEW YORK NY,40,Debit,Transportation,Fall
7157,9/22/19,AMZN Mktp US*C12E849T3 Amzn.com/bill WA,6.45,Debit,Shopping,Summer
7157,9/22/19,GRACELAND FLORIST MOUNT VERNON NY,10.86,Debit,Other,Summer
7157,9/22/19,PANE AND GELATO EASTCHESTER NY,16.25,Debit,Food,Summer
7157,9/22/19,LITTLE B S TARRYTOWN NY,50,Debit,Food,Summer
7157,9/21/19,AMZN Mktp US*M207N77Q3 Amzn.com/bill WA,28.86,Debit,Shopping,Summer
7157,9/19/19,MTA*MNR ETIX TICKET 877-690-5116 NY,9.75,Debit,Transportation,Summer
7157,9/17/19,MTA*MNR ETIX TICKET 877-690-5116 NY,9.75,Debit,Transportation,Summer
7157,9/16/19,"ONLINE PAYMENT, THANK YOU",-415,Credit,Earning,Summer
7157,9/15/19,FOOD BAZAAR #40 MOUNT VERNON NY,45.56,Debit,Food,Summer
7157,9/14/19,WAVE 92058204 MOUNT VERNON NY,30.04,Debit,Transportation,Summer
7157,9/12/19,MTA*METROCARD MACHINE NEW YORK NY,40,Debit,Transportation,Summer
7157,9/10/19,MACMILLAN EDUCATION 5406727735 NY,71.85,Debit,Education,Summer
7157,9/9/19,AUTOPAY 190701043711444RAUTOPAY AUTO-PMT,-29,Credit,Earning,Summer
7157,9/9/19,NEW ROCHELLE CITY COUR NEW ROCHELLE NY,163,Debit,Transportation,Summer
7157,9/9/19,EMPIRE SPA INC YONKERS NY,77,Debit,Entertainment,Summer
7157,9/8/19,VANITY ELMHURST NY,300,Debit,Entertainment,Summer
7157,9/8/19,VANITY ELMHURST NY,350,Debit,Entertainment,Summer
7157,9/8/19,PAYPAL *UBER 4029357733 CA,33.32,Debit,Transportation,Summer
7157,9/7/19,MTA*MNR ETIX TICKET 877-690-5116 NY,9.75,Debit,Transportation,Summer
7157,9/7/19,MEGA NEWS NEW YORK NY,15,Debit,Food,Summer
7157,9/6/19,"ONLINE PAYMENT, THANK YOU",-1000,Credit,Earning,Summer
7157,9/6/19,EZ FESTIVALS LLC 323-908-0607 NY,-46,Credit,Earning,Summer
7157,9/6/19,123 BURGER SHOT BEER NEW YORK NY,170.66,Debit,Food,Summer
7157,9/6/19,CHRYSLER CLEANERS INC NEW YORK NY,20,Debit,Shopping,Summer
7157,9/5/19,ZARA USA 6464 YONKERS NY,-140.45,Credit,Shopping,Summer
7157,9/5/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Summer
7157,9/5/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Summer
7157,9/5/19,EXXONMOBIL 47968920 LITTLE FALLS NJ,39.2,Debit,Transportation,Summer
7157,9/5/19,ZARA USA 6464 YONKERS NY,230.32,Debit,Shopping,Summer
7157,9/4/19,Spotify USA New York NY,4.99,Debit,Entertainment,Summer
7157,9/3/19,CMSVEND*CV FARMINGDALE AMITYVILLE NY Digital Account Number XXXXXXXXXXXX1645,2.8,Debit,Food,Summer
7157,9/3/19,SUHAIL DELI & GROCERY NEW YORK NY,7.28,Debit,Food,Summer
7157,9/1/19,POPEYES 12815 NEW YORK NY Digital Account Number XXXXXXXXXXXX1645,4.34,Debit,Food,Summer
7157,9/1/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.75,Debit,Transportation,Summer
7157,9/1/19,EZ FESTIVALS LLC 323-908-0607 NY,50,Debit,Entertainment,Summer
7157,9/1/19,EZ FESTIVALS LLC 323-908-0607 NY,50,Debit,Entertainment,Summer
7157,8/31/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.75,Debit,Transportation,Summer
7157,8/31/19,PAYPAL *UBER 4029357733 CA,9,Debit,Transportation,Summer
7157,8/31/19,PAYPAL *UBER 4029357733 CA,14.92,Debit,Transportation,Summer
7157,8/31/19,THE BROOKLYN BARGE BROOKLYN NY,15,Debit,Food,Summer
7157,8/31/19,PAYPAL *UBER 4029357733 CA,20,Debit,Transportation,Summer
7157,8/31/19,INTERNATIONAL WINES AN NEW YORK NY,38.1,Debit,Food,Summer
7157,8/31/19,MTA*METROCARD MACHINE NEW YORK NY,40,Debit,Transportation,Summer
7157,8/31/19,EZ FESTIVALS LLC 323-908-0607 NY,40,Debit,Entertainment,Summer
7157,8/31/19,EZ FESTIVALS LLC 323-908-0607 NY,50,Debit,Entertainment,Summer
7157,8/31/19,EZ FESTIVALS LLC 323-908-0607 NY,50,Debit,Entertainment,Summer
7157,8/30/19,ROTI MEDITERRANEAN GRI NEW YORK NY,17.69,Debit,Food,Summer
7157,8/30/19,THE BROOKLYN BARGE BROOKLYN NY,20,Debit,Food,Summer
7157,8/30/19,THE BROOKLYN BARGE BROOKLYN NY,25,Debit,Food,Summer
7157,8/30/19,BENGAL TIGER GAS YONKERS NY,25,Debit,Transportation,Summer
7157,8/27/19,TST* MAKANA 4 NEW YORK NY,9.58,Debit,Food,Summer
7157,8/26/19,SAKANAYA NEW YORK NY,40,Debit,Food,Summer
7157,8/25/19,BP#0030619CROSS BROQPS BRONX NY,25,Debit,Transportation,Summer
7157,8/23/19,"ONLINE PAYMENT, THANK YOU",-1500,Credit,Earning,Summer
7157,8/22/19,NAMASTE NEPAL          SUNNYSIDE     NY,80,Debit,Food,Summer
7157,8/21/19,COMPASS235    98203532 NEW YORK      NY,1.47,Debit,Food,Summer
7157,8/19/19,PANDA EXPRESS 2613     NEW YORK      NY,14.86,Debit,Food,Summer
7157,8/17/19,PAYPAL *GUMROAD YES TH 4029357733    CA,10,Debit,Shopping,Summer
7157,8/17/19,PAYPAL *FOREVER21      4029357733    CA ,72.08,Debit,Shopping,Summer
7157,8/14/19,FANDANGO               8668575191    CA ,34.7,Debit,Entertainment,Summer
7157,8/14/19,JIN JJA ROO            NEW YORK      NY,10.88,Debit,Food,Summer
7157,8/13/19,CVS/PHARMACY #05861    MOUNT VERNON  NY ,20.58,Debit,Health,Summer
7157,8/10/19,OZZIES ICE CREAM &THIN MOUNT VERNON  NY,7.48,Debit,Food,Summer
7157,8/9/19,PRC PARKS PERMIT REC   WHITE PLAINS  NY,500,Debit,Other,Summer
7157,8/9/19,AUTOPAY 190701043711444RAUTOPAY AUTO-PMT,-33,Credit,Earning,Summer
7157,8/9/19,"ONLINE PAYMENT, THANK YOU",-1000,Credit,Earning,Summer
7157,8/8/19,76 BOWLMOR 8003425263  NEW YORK      NY ,89.48,Debit,Entertainment,Summer
7157,8/7/19,NEW YORK STATE DMV     YONKERS       NY ,12.5,Debit,Transportation,Summer
7157,8/6/19,NBS CUNY LEH SERVICE F 888-4706014   NE ,36.68,Debit,Education,Summer
7157,8/6/19,CUNY LEH TUITION FEE   718-9608309   NY,1384.1,Debit,Education,Summer
7157,8/6/19,MTA*METROCARD MACHINE  NEW YORK      NY,40,Debit,Transportation,Summer
7157,8/6/19,MTA*METROCARD MACHINE  NEW YORK      NY ,40,Debit,Transportation,Summer
7157,8/5/19,GOOGLE *Google Store   g.co/helppay# CA,432.42,Debit,Shopping,Summer
7157,8/5/19,"ONLINE PAYMENT, THANK YOU",-1500,Credit,Earning,Summer
7157,8/4/19,Spotify USA            New York      NY,4.99,Debit,Entertainment,Summer
7157,8/3/19,STARBUCKS STORE 07215  NEW YORK      NY,25,Debit,Food,Summer
7157,8/2/19,MTA*MNR ETIX TICKET    877-690-5116  NY ,248,Debit,Transportation,Summer
7157,8/2/19,HUDSONNEWS  ST127      NEW YORK      NY Digital Account Number XXXXXXXXXXXX1645,2.98,Debit,Food,Summer
7157,8/2/19,CHICK-FIL-A #04221     NEW YORK      NY,16.09,Debit,Food,Summer
7157,8/1/19,NBS CUNY CTY SERVICE F 402-3257128   NE,26.53,Debit,Education,Summer
7157,8/1/19,CUNY CTY TUITION FEE   212-6505054   NY,1000.95,Debit,Education,Summer
7157,8/1/19,COMPASS235    98203532 NEW YORK      NY,3.36,Debit,Food,Summer
7157,7/31/19,ZEST RAMEN             NEW YORK      NY,75,Debit,Food,Summer
7157,7/26/19,TST* BOW RAMEN         NEW YORK      NY,13.06,Debit,Food,Summer
7157,7/26/19,"ONLINE PAYMENT, THANK YOU",-2201.63,Credit,Earning,Summer
7157,7/24/19,T-MOBILE STORE # 3799  NEW YORK      NY,21.78,Debit,Shopping,Summer
7157,7/24/19,T-MOBILE STORE # 3799  NEW YORK      NY ,27.22,Debit,Shopping,Summer
7157,7/23/19,MTA*MNR STATION TIX    NEW YORK      NY,11.5,Debit,Transportation,Summer
7157,7/23/19,MTA*METROCARD MACHINE  NEW YORK      NY,39.5,Debit,Transportation,Summer
7157,7/23/19,CHICK-FIL-A #04019     NEW YORK      NY ,9.84,Debit,Food,Summer
7157,7/22/19,COMPASS235    98203532 NEW YORK      NY,9.25,Debit,Food,Summer
7157,7/20/19,VISTAPR*VistaPrint.com 866-8936743   MA ,33.59,Debit,Other,Summer
7157,7/20/19,GRAN RODEO BAR & GRILL NEW ROCHELLE  NY,145.51,Debit,Food,Summer
7157,7/19/19,CHICK-FIL-A #04019     NEW YORK      NY,8.26,Debit,Food,Summer
7157,7/19/19,TST* BOW RAMEN         NEW YORK      NY ,35,Debit,Food,Summer
7157,7/17/19,PAYPAL *SWAPPA         4029357733    MO,15,Debit,Shopping,Summer
7157,7/17/19,MONTEFIORE M V MHS     BRONX         NY,75,Debit,Health,Summer
7157,7/17/19,PAYPAL *TRIANGCELL     9199499949    NC,385,Debit,Shopping,Summer
7157,7/17/19,"WIX*Wix.Com, Inc.      San Francisco CA",432,Debit,Other,Summer
7157,7/16/19,WIX.COM*478016973      NEW YORK      NY,55.6,Debit,Other,Summer
7157,7/14/19,CENTURY TWENTY ONE #52 YONKERS       NY,21.99,Debit,Shopping,Summer
7157,7/14/19,TJMAXX #0101           YONKERS       NY,51.35,Debit,Shopping,Summer
7157,7/14/19,TONY`S DINAPOLI - EAST NEW YORK      NY,74.04,Debit,Food,Summer
7157,7/13/19,CVS/PHARMACY #05861    MOUNT VERNON  NY,58.64,Debit,Health,Summer
7157,7/12/19,SHELL OIL 12429921013  MOUNT VERNON  NY,25.1,Debit,Transportation,Summer
7157,7/10/19,SQ     *SQ *ICE & VICE New York      NY,12.08,Debit,Food,Summer
7157,7/10/19,CAFE HESTIA            NEW YORK      NY,9.24,Debit,Food,Summer
7157,7/10/19,WOORI JIP              NEW YORK      NY,13.38,Debit,Food,Summer
7157,7/9/19,MTA*METROCARD MACHINE  NEW YORK      NY,55,Debit,Transportation,Summer
7157,7/7/19,BP#0030619CROSS BROQPS BRONX         NY,40.09,Debit,Transportation,Summer
7157,7/6/19,TST* AUSTIN PUBLIC     FOREST HILLS  NY,31.57,Debit,Food,Summer
7157,7/5/19,SP * NOMATIC.COM       8012432444    UT,-199.99,Credit,Earning,Summer
7157,7/5/19,CABANA                 FOREST HILLS  NY,90,Debit,Food,Summer
7157,7/4/19,MCDONALD'S F3296       MOUNT VERNON  NY,3.89,Debit,Food,Summer
7157,7/4/19,Spotify USA            New York      NY,4.99,Debit,Entertainment,Summer
7157,7/3/19,USPS PO 3555850102     MOUNT VERNON  NY,19.39,Debit,Other,Summer
7157,7/2/19,MTA*MNR ETIX TICKET    877-690-5116  NY,248,Debit,Transportation,Summer
7157,6/30/19,EL MARINERO RESTAURANT YONKERS       NY,53,Debit,Food,Summer
7157,6/29/19,LITTLE MEXICAN CAFE    NEW ROCHELLE  NY,61.32,Debit,Food,Summer
7157,6/29/19,"ONLINE PAYMENT, THANK YOU ",-27.16,Credit,Earning,Summer
7157,6/29/19,SP * STANDARD LUGGAGE  TORONTO       CAN,99,Debit,Shopping,Summer
7157,6/28/19,NEW ROCHELLE PRKG METE NEW ROCHELLE  NY,2,Debit,Transportation,Summer
7157,6/28/19,THE PERFECT PINT       NEW YORK      NY,8.7,Debit,Food,Summer
7157,6/27/19,TST* NAYA EXPRESS - MI NEW YORK      NY,11.5,Debit,Food,Summer
7157,6/27/19,CHIPOTLE 1968          NEW YORK      NY,13.5,Debit,Food,Summer
7157,6/26/19,ICHIRAN TIMES SQUARE   NEW YORK      NY,30.27,Debit,Food,Summer
7157,6/25/19,MTA*MNR ETIX TICKET    877-690-5116  NY,115,Debit,Transportation,Summer
7157,6/24/19,SP * NOMATIC.COM       8012432444    UT,199.99,Debit,Shopping,Summer
7157,6/23/19,BP#2219608PINE STREQPS ELIZABETH     NJ,7,Debit,Transportation,Summer
7157,6/23/19,PIZZA KING             MOUNT VERNON  NY,34,Debit,Food,Summer
7157,6/23/19,SHELL OIL 12429921013  MOUNT VERNON  NY,19.99,Debit,Transportation,Summer
7157,6/23/19,BAMBOLEO NIGHTCLUB     ELIZABETH     NJ,25,Debit,Entertainment,Summer
